file_size_bytes,response_reason,response_status,signal_bars,signal_dbm,time_date,time_download,time_epoch
1024,OK,200,0,0,2007-05-30 23:10:08,1.03798,1180591808.33
10240,OK,200,0,0,2007-05-30 23:10:14,4.089,1180591814.08
1024,OK,200,0,0,2007-05-30 23:14:12,15.0664,1180592052.44
102400,OK,200,0,0,2007-05-30 23:19:05,177.97,1180592345.7
1024,OK,200,0,0,2007-05-30 23:20:03,3.09764,1180592403.01
10240,OK,200,0,0,2007-05-30 23:21:36,2.93331,1180592496.56
51200,OK,200,0,0,2007-05-30 23:21:47,9.85556,1180592507.99
102400,OK,200,0,0,2007-05-30 23:22:08,18.7934,1180592528.36
1024,OK,200,0,0,2007-05-30 23:22:11,1.291,1180592531.16
10240,OK,200,0,0,2007-05-30 23:22:15,2.92644,1180592535.68
51200,OK,200,0,0,2007-05-30 23:22:27,10.0495,1180592547.68
102400,OK,200,0,0,2007-05-30 23:22:48,19.1122,1180592568.3
1024,OK,200,0,0,2007-05-30 23:22:51,1.25397,1180592571.53
10240,OK,200,0,0,2007-05-30 23:22:55,2.49038,1180592575.5
51200,OK,200,0,0,2007-05-30 23:23:08,11.6921,1180592588.9
102400,OK,200,0,0,2007-05-30 23:23:30,19.6983,1180592610.65
1024,OK,200,0,0,2007-05-30 23:23:34,1.66471,1180592614.37
10240,OK,200,0,0,2007-05-30 23:23:39,3.65547,1180592619.65
51200,OK,200,0,0,2007-05-30 23:23:58,16.9713,1180592638.46
102400,OK,200,0,0,2007-05-30 23:24:23,23.8334,1180592663.82
1024,OK,200,0,0,2007-05-30 23:24:27,1.34082,1180592667.31
10240,OK,200,0,0,2007-05-30 23:24:33,3.67789,1180592673.04
51200,OK,200,0,0,2007-05-30 23:24:51,16.8768,1180592691.9
102400,OK,200,0,0,2007-05-30 23:25:13,19.8137,1180592713.52
1024,OK,200,0,0,2007-05-30 23:25:16,1.2028,1180592716.63
10240,OK,200,0,0,2007-05-30 23:25:21,3.43609,1180592721.64
51200,OK,200,0,0,2007-05-30 23:25:35,11.6847,1180592735.29
102400,OK,200,0,0,2007-05-30 23:25:53,16.4634,1180592753.56
1024,OK,200,0,0,2007-05-30 23:25:56,0.997986,1180592756.06
10240,OK,200,0,0,2007-05-30 23:26:00,2.89304,1180592760.41
51200,OK,200,0,0,2007-05-30 23:26:18,16.4809,1180592778.6
102400,OK,200,0,0,2007-05-30 23:26:44,23.8127,1180592804.08
1024,OK,200,0,0,2007-05-30 23:26:47,1.44387,1180592807.18
10240,OK,200,0,0,2007-05-30 23:26:53,3.79878,1180592813.44
51200,OK,200,0,0,2007-05-30 23:27:15,19.9205,1180592835.04
102400,OK,200,0,0,2007-05-30 23:27:49,29.9918,1180592869.45
1024,OK,200,0,0,2007-05-30 23:27:52,1.31603,1180592872.86
10240,OK,200,0,0,2007-05-30 23:27:58,3.99557,1180592878.62
51200,OK,200,0,0,2007-05-30 23:28:14,14.3349,1180592894.66
102400,OK,200,0,0,2007-05-30 23:28:42,26.5531,1180592922.9
1024,OK,200,0,0,2007-05-30 23:28:45,1.41493,1180592925.98
10240,OK,200,0,0,2007-05-30 23:28:52,3.91546,1180592932.05
51200,OK,200,0,0,2007-05-30 23:29:03,9.49268,1180592943.02
102400,OK,200,0,0,2007-05-30 23:29:22,17.9746,1180592962.79
1024,OK,200,0,0,2007-05-30 23:29:26,1.96784,1180592966.28
10240,OK,200,0,0,2007-05-30 23:29:30,2.64002,1180592970.37
51200,OK,200,0,0,2007-05-30 23:29:41,8.91156,1180592981.26
102400,OK,200,0,0,2007-05-30 23:29:58,16.1689,1180592998.95
1024,OK,200,0,0,2007-05-30 23:30:02,1.02599,1180593002.1
10240,OK,200,0,0,2007-05-30 23:30:06,2.64656,1180593006.3
51200,OK,200,0,0,2007-05-30 23:30:16,9.00986,1180593016.81
102400,OK,200,0,0,2007-05-30 23:30:39,21.3488,1180593039.83
1024,OK,200,0,0,2007-05-30 23:30:43,1.37206,1180593043.36
10240,OK,200,0,0,2007-05-30 23:30:48,3.5278,1180593048.42
51200,OK,200,0,0,2007-05-30 23:31:01,11.8314,1180593061.7
102400,OK,200,0,0,2007-05-30 23:31:24,20.8269,1180593084.53
1024,OK,200,0,0,2007-05-30 23:31:27,1.31399,1180593087.56
10240,OK,200,0,0,2007-05-30 23:31:32,2.90872,1180593092.43
51200,OK,200,0,0,2007-05-30 23:31:43,8.92991,1180593103.08
102400,OK,200,0,0,2007-05-30 23:32:02,17.5267,1180593122.33
1024,OK,200,0,0,2007-05-30 23:32:05,1.45109,1180593125.66
10240,OK,200,0,0,2007-05-30 23:32:10,3.31066,1180593130.78
51200,OK,200,0,0,2007-05-30 23:32:22,10.0885,1180593142.51
102400,OK,200,0,0,2007-05-30 23:32:41,17.1068,1180593161.15
1024,OK,200,0,0,2007-05-30 23:32:44,1.39314,1180593164.34
10240,OK,200,0,0,2007-05-30 23:32:49,3.28858,1180593169.83
51200,OK,200,0,0,2007-05-30 23:33:01,9.66969,1180593181.15
102400,OK,200,0,0,2007-05-30 23:33:19,16.453,1180593199.15
1024,OK,200,0,0,2007-05-30 23:33:22,1.13227,1180593202.04
10240,OK,200,0,0,2007-05-30 23:33:27,3.10742,1180593207.04
51200,OK,200,0,0,2007-05-30 23:33:41,11.9735,1180593221.16
102400,OK,200,0,0,2007-05-30 23:33:59,17.017,1180593239.82
1024,OK,200,0,0,2007-05-30 23:34:03,1.80167,1180593243.41
10240,OK,200,0,0,2007-05-30 23:34:09,4.28842,1180593249.47
51200,OK,200,0,0,2007-05-30 23:34:25,14.092,1180593265.21
102400,OK,200,0,0,2007-05-30 23:34:50,22.9139,1180593290.27
1024,OK,200,0,0,2007-05-30 23:34:53,1.31491,1180593293.34
10240,OK,200,0,0,2007-05-30 23:34:58,3.5516,1180593298.77
51200,OK,200,0,0,2007-05-30 23:35:17,16.4066,1180593317.47
102400,OK,200,0,0,2007-05-30 23:35:43,24.2457,1180593343.75
1024,OK,200,0,0,2007-05-30 23:35:46,1.20399,1180593346.43
10240,OK,200,0,0,2007-05-30 23:35:50,2.92775,1180593350.93
51200,OK,200,0,0,2007-05-30 23:36:01,8.65192,1180593361.35
102400,OK,200,0,0,2007-05-30 23:36:19,16.6087,1180593379.56
1024,OK,200,0,0,2007-05-30 23:36:22,0.994265,1180593382.26
10240,OK,200,0,0,2007-05-30 23:36:27,3.80862,1180593387.68
51200,OK,200,0,0,2007-05-30 23:36:40,10.8935,1180593400.65
102400,OK,200,0,0,2007-05-30 23:37:06,24.3103,1180593426.57
1024,OK,200,0,0,2007-05-30 23:37:09,1.19306,1180593429.31
10240,OK,200,0,0,2007-05-30 23:37:15,4.26548,1180593435.42
51200,OK,200,0,0,2007-05-30 23:37:29,12.4954,1180593449.79
102400,OK,200,0,0,2007-05-30 23:37:55,24.2948,1180593475.73
1024,OK,200,0,0,2007-05-30 23:37:58,1.31212,1180593478.78
10240,OK,200,0,0,2007-05-30 23:38:04,3.6065,1180593484.06
51200,OK,200,0,0,2007-05-30 23:38:17,11.8704,1180593497.81
102400,OK,200,0,0,2007-05-30 23:38:43,23.4068,1180593523.01
1024,OK,200,0,0,2007-05-30 23:38:46,1.06808,1180593526.05
10240,OK,200,0,0,2007-05-30 23:38:50,3.32865,1180593530.91
51200,OK,200,0,0,2007-05-30 23:39:05,12.5311,1180593545.63
102400,OK,200,0,0,2007-05-30 23:39:25,17.9876,1180593565.59
1024,OK,200,0,0,2007-05-30 23:39:28,1.08114,1180593568.43
10240,OK,200,0,0,2007-05-30 23:39:33,3.22202,1180593573.29
51200,OK,200,0,0,2007-05-30 23:39:44,9.11657,1180593584.49
102400,OK,200,0,0,2007-05-30 23:40:03,17.2774,1180593603.24
1024,OK,200,0,0,2007-05-30 23:40:06,1.24429,1180593606.34
10240,OK,200,0,0,2007-05-30 23:40:10,2.73654,1180593610.79
51200,OK,200,0,0,2007-05-30 23:40:22,10.1556,1180593622.72
102400,OK,200,0,0,2007-05-30 23:40:45,21.1572,1180593645.93
1024,OK,200,0,0,2007-05-30 23:40:48,1.06535,1180593648.81
10240,OK,200,0,0,2007-05-30 23:40:53,3.15749,1180593653.51
51200,OK,200,0,0,2007-05-30 23:41:06,11.2587,1180593666.41
102400,OK,200,0,0,2007-05-30 23:41:27,19.292,1180593687.37
1024,OK,200,0,0,2007-05-30 23:41:30,1.14329,1180593690.25
10240,OK,200,0,0,2007-05-30 23:41:34,2.87551,1180593694.59
51200,OK,200,0,0,2007-05-30 23:41:45,8.91557,1180593705.12
102400,OK,200,0,0,2007-05-30 23:42:08,21.3196,1180593728.67
1024,OK,200,0,0,2007-05-30 23:42:11,1.10047,1180593731.51
10240,OK,200,0,0,2007-05-30 23:42:16,3.33128,1180593736.68
51200,OK,200,0,0,2007-05-30 23:42:29,10.2584,1180593749.04
102400,OK,200,0,0,2007-05-30 23:42:53,22.5535,1180593773.98
1024,OK,200,0,0,2007-05-30 23:42:58,1.88033,1180593778.03
10240,OK,200,0,0,2007-05-30 23:43:03,4.0911,1180593783.82
51200,OK,200,0,0,2007-05-30 23:43:17,12.3219,1180593797.84
102400,OK,200,0,0,2007-05-30 23:43:51,31.4768,1180593831.64
1024,OK,200,0,0,2007-05-30 23:43:54,1.18528,1180593834.89
10240,OK,200,0,0,2007-05-30 23:44:01,5.03443,1180593841.98
51200,OK,200,0,0,2007-05-30 23:44:30,25.3967,1180593870.01
102400,OK,200,0,0,2007-05-30 23:45:07,35.8685,1180593907.66
1024,OK,200,0,0,2007-05-30 23:45:11,1.75197,1180593911.15
10240,OK,200,0,0,2007-05-30 23:45:16,3.26962,1180593916
51200,OK,200,0,0,2007-05-30 23:45:29,12.3812,1180593929.91
102400,OK,200,0,0,2007-05-30 23:45:51,20.1671,1180593951.83
1024,OK,200,0,0,2007-05-30 23:45:54,1.16893,1180593954.85
10240,OK,200,0,0,2007-05-30 23:46:00,3.43068,1180593960.07
51200,OK,200,0,0,2007-05-30 23:46:13,11.3127,1180593973.11
102400,OK,200,0,0,2007-05-30 23:46:32,17.6485,1180593992.58
1024,OK,200,0,0,2007-05-30 23:46:35,1.2771,1180593995.55
10240,OK,200,0,0,2007-05-30 23:46:40,3.26466,1180594000.56
51200,OK,200,0,0,2007-05-30 23:46:51,9.18965,1180594011.36
102400,OK,200,0,0,2007-05-30 23:47:10,17.1717,1180594030.26
1024,OK,200,0,0,2007-05-30 23:47:12,0.95322,1180594032.84
10240,OK,200,0,0,2007-05-30 23:47:17,2.72376,1180594037.34
51200,OK,200,0,0,2007-05-30 23:47:28,9.00981,1180594048.24
102400,OK,200,0,0,2007-05-30 23:47:49,18.0485,1180594069.18
